,path,pol,id,mod_time,t,abs
92,data/UV/181120_dpp_cn10_v30_t125/para/para_00092.txt,para,92,18.0,9.200000000000001,"[ 0.18791304  0.19508696  0.19448936 ...  0.05046512 -0.00114286
 -0.00611905]"
93,data/UV/181120_dpp_cn10_v30_t125/para/para_00093.txt,para,93,18.0,9.3,[0.1946087  0.19786957 0.19376596 ... 0.03662791 0.03957143 0.01414286]
94,data/UV/181120_dpp_cn10_v30_t125/para/para_00094.txt,para,94,18.0,9.4,[0.19765217 0.2096087  0.19512766 ... 0.05525581 0.04114286 0.00295238]
95,data/UV/181120_dpp_cn10_v30_t125/para/para_00095.txt,para,95,18.0,9.5,[0.20069565 0.20917391 0.20214894 ... 0.06818605 0.04257143 0.0112619 ]
96,data/UV/181120_dpp_cn10_v30_t125/para/para_00096.txt,para,96,20.0,9.600000000000001,[0.213      0.20647826 0.20155319 ... 0.06534884 0.03028571 0.02897619]
97,data/UV/181120_dpp_cn10_v30_t125/para/para_00097.txt,para,97,20.0,9.700000000000001,"[ 0.19243478  0.19308696  0.20551064 ...  0.06062791  0.007
 -0.0217381 ]"
98,data/UV/181120_dpp_cn10_v30_t125/para/para_00098.txt,para,98,20.0,9.8,[0.22743478 0.19591304 0.19217021 ... 0.04906977 0.02828571 0.00107143]
99,data/UV/181120_dpp_cn10_v30_t125/para/para_00099.txt,para,99,20.0,9.9,"[ 0.19673913  0.2026087   0.20693617 ...  0.07251163  0.05
 -0.01961905]"
100,data/UV/181120_dpp_cn10_v30_t125/para/para_00100.txt,para,100,20.0,10.0,"[ 0.19413043  0.18891304  0.18159574 ...  0.06527907  0.00185714
 -0.02204762]"
101,data/UV/181120_dpp_cn10_v30_t125/para/para_00101.txt,para,101,20.0,10.100000000000001,[0.20082609 0.21147826 0.19791489 ... 0.04132558 0.01614286 0.05090476]
102,data/UV/181120_dpp_cn10_v30_t125/para/para_00102.txt,para,102,20.0,10.200000000000001,[0.20521739 0.2026087  0.19821277 ... 0.06462791 0.04528571 0.02097619]
103,data/UV/181120_dpp_cn10_v30_t125/para/para_00103.txt,para,103,20.0,10.3,[0.19782609 0.19130435 0.18982979 ... 0.037      0.031      0.00404762]
104,data/UV/181120_dpp_cn10_v30_t125/para/para_00104.txt,para,104,20.0,10.4,"[ 0.18926087  0.19404348  0.2002766  ...  0.06834884  0.02842857
 -0.02390476]"
105,data/UV/181120_dpp_cn10_v30_t125/para/para_00105.txt,para,105,20.0,10.5,[0.19595652 0.19617391 0.18987234 ... 0.04846512 0.00485714 0.01485714]
106,data/UV/181120_dpp_cn10_v30_t125/para/para_00106.txt,para,106,22.0,10.600000000000001,"[ 0.20382609  0.20513043  0.20276596 ...  0.05018605  0.028
 -0.00271429]"
107,data/UV/181120_dpp_cn10_v30_t125/para/para_00107.txt,para,107,22.0,10.700000000000001,[0.19917391 0.19482609 0.20768085 ... 0.03167442 0.01342857 0.00830952]
108,data/UV/181120_dpp_cn10_v30_t125/para/para_00108.txt,para,108,22.0,10.8,"[ 0.21343478  0.20973913  0.1906383  ...  0.03786047  0.00314286
 -0.01183333]"
109,data/UV/181120_dpp_cn10_v30_t125/para/para_00109.txt,para,109,22.0,10.9,"[ 0.216       0.19491304  0.19044681 ...  0.0485814   0.02157143
 -0.0352381 ]"
110,data/UV/181120_dpp_cn10_v30_t125/para/para_00110.txt,para,110,22.0,11.0,[0.21230435 0.19969565 0.20623404 ... 0.02469767 0.07342857 0.00040476]
111,data/UV/181120_dpp_cn10_v30_t125/para/para_00111.txt,para,111,22.0,11.100000000000001,[0.2043913  0.20569565 0.19342553 ... 0.07693023 0.028      0.04395238]
112,data/UV/181120_dpp_cn10_v30_t125/para/para_00112.txt,para,112,22.0,11.200000000000001,"[ 0.20847826  0.20608696  0.19897872 ...  0.07939535  0.032
 -0.02235714]"
113,data/UV/181120_dpp_cn10_v30_t125/para/para_00113.txt,para,113,22.0,11.3,[0.1973913  0.20434783 0.20548936 ... 0.05969767 0.04642857 0.03757143]
114,data/UV/181120_dpp_cn10_v30_t125/para/para_00114.txt,para,114,22.0,11.4,[0.21282609 0.20630435 0.19108511 ... 0.03772093 0.05971429 0.02528571]
115,data/UV/181120_dpp_cn10_v30_t125/para/para_00115.txt,para,115,22.0,11.5,"[ 0.19334783  0.19595652  0.19559574 ...  0.04311628  0.02142857
 -0.01857143]"
116,data/UV/181120_dpp_cn10_v30_t125/para/para_00116.txt,para,116,24.0,11.600000000000001,[0.21169565 0.203      0.2022766  ... 0.03813953 0.03542857 0.028     ]
117,data/UV/181120_dpp_cn10_v30_t125/para/para_00117.txt,para,117,24.0,11.700000000000001,"[ 0.195       0.20195652  0.20376596 ...  0.06813953  0.00114286
 -0.00378571]"
118,data/UV/181120_dpp_cn10_v30_t125/para/para_00118.txt,para,118,24.0,11.8,[0.19017391 0.19691304 0.19108511 ... 0.05669767 0.03228571 0.01845238]
119,data/UV/181120_dpp_cn10_v30_t125/para/para_00119.txt,para,119,24.0,11.9,"[ 0.18586957  0.1873913   0.1932766  ...  0.04439535  0.04728571
 -0.0037619 ]"
120,data/UV/181120_dpp_cn10_v30_t125/para/para_00120.txt,para,120,24.0,12.0,[0.19534783 0.21969565 0.20678723 ... 0.06046512 0.01571429 0.01157143]
121,data/UV/181120_dpp_cn10_v30_t125/para/para_00121.txt,para,121,24.0,12.100000000000001,"[ 0.19847826  0.19695652  0.19076596 ...  0.05372093  0.04771429
 -0.01933333]"
122,data/UV/181120_dpp_cn10_v30_t125/para/para_00122.txt,para,122,24.0,12.200000000000001,[0.21230435 0.19773913 0.21119149 ... 0.0232093  0.03371429 0.0035    ]
123,data/UV/181120_dpp_cn10_v30_t125/para/para_00123.txt,para,123,24.0,12.3,"[ 0.20152174  0.20478261  0.19625532 ...  0.07772093  0.02257143
 -0.0252619 ]"
124,data/UV/181120_dpp_cn10_v30_t125/para/para_00124.txt,para,124,24.0,12.4,[0.20930435 0.218      0.20425532 ... 0.07416279 0.03642857 0.00109524]
125,data/UV/181120_dpp_cn10_v30_t125/para/para_00125.txt,para,125,24.0,12.5,[0.20552174 0.19508696 0.20095745 ... 0.06332558 0.00585714 0.03454762]
126,data/UV/181120_dpp_cn10_v30_t125/para/para_00126.txt,para,126,26.0,12.600000000000001,"[ 0.19713043  0.19647826  0.19593617 ...  0.07990698  0.026
 -0.0257619 ]"
127,data/UV/181120_dpp_cn10_v30_t125/para/para_00127.txt,para,127,26.0,12.700000000000001,[0.19604348 0.20213043 0.19831915 ... 0.04653488 0.00871429 0.00502381]
128,data/UV/181120_dpp_cn10_v30_t125/para/para_00128.txt,para,128,26.0,12.8,"[ 0.20747826  0.2163913   0.19985106 ...  0.0694186   0.05014286
 -0.01638095]"
129,data/UV/181120_dpp_cn10_v30_t125/para/para_00129.txt,para,129,26.0,12.9,[0.18934783 0.19195652 0.19810638 ... 0.06769767 0.03785714 0.00461905]
130,data/UV/181120_dpp_cn10_v30_t125/para/para_00130.txt,para,130,26.0,13.0,[0.20769565 0.18878261 0.18595745 ... 0.05565116 0.06528571 0.00419048]
131,data/UV/181120_dpp_cn10_v30_t125/para/para_00131.txt,para,131,26.0,13.100000000000001,"[ 0.20247826  0.20204348  0.19887234 ...  0.05030233  0.00814286
 -0.04154762]"
132,data/UV/181120_dpp_cn10_v30_t125/para/para_00132.txt,para,132,26.0,13.200000000000001,[0.20886957 0.20256522 0.2042766  ... 0.06581395 0.01171429 0.02578571]
133,data/UV/181120_dpp_cn10_v30_t125/para/para_00133.txt,para,133,26.0,13.3,"[ 0.19665217  0.211       0.21542553 ...  0.06123256  0.01128571
 -0.02202381]"
134,data/UV/181120_dpp_cn10_v30_t125/para/para_00134.txt,para,134,26.0,13.4,"[ 0.20552174  0.20095652  0.19765957 ...  0.03048837 -0.00671429
 -0.02133333]"
135,data/UV/181120_dpp_cn10_v30_t125/para/para_00135.txt,para,135,26.0,13.5,[0.2046087  0.19004348 0.18393617 ... 0.03251163 0.01885714 0.01542857]
136,data/UV/181120_dpp_cn10_v30_t125/para/para_00136.txt,para,136,28.0,13.600000000000001,"[ 0.19734783  0.19626087  0.19148936 ...  0.06609302  0.03
 -0.0027381 ]"
137,data/UV/181120_dpp_cn10_v30_t125/para/para_00137.txt,para,137,28.0,13.700000000000001,[0.20465217 0.20421739 0.19831915 ... 0.07027907 0.046      0.0277381 ]
138,data/UV/181120_dpp_cn10_v30_t125/para/para_00138.txt,para,138,28.0,13.8,"[ 0.20873913  0.2043913   0.2022766  ...  0.03455814  0.002
 -0.00430952]"
139,data/UV/181120_dpp_cn10_v30_t125/para/para_00139.txt,para,139,28.0,13.9,"[ 0.19708696  0.19469565  0.18753191 ...  0.02462791  0.07042857
 -0.03240476]"
140,data/UV/181120_dpp_cn10_v30_t125/para/para_00140.txt,para,140,28.0,14.0,"[ 0.20386957  0.19908696  0.20351064 ...  0.0232093   0.01885714
 -0.00409524]"
141,data/UV/181120_dpp_cn10_v30_t125/para/para_00141.txt,para,141,28.0,14.100000000000001,"[ 0.19695652  0.18804348  0.17831915 ...  0.0602093   0.02528571
 -0.02059524]"
142,data/UV/181120_dpp_cn10_v30_t125/para/para_00142.txt,para,142,28.0,14.200000000000001,"[ 0.20321739  0.19082609  0.19929787 ...  0.02827907  0.01771429
 -0.00738095]"
143,data/UV/181120_dpp_cn10_v30_t125/para/para_00143.txt,para,143,28.0,14.3,"[ 0.22026087  0.21352174  0.19525532 ...  0.0405814  -0.00414286
 -0.01180952]"
144,data/UV/181120_dpp_cn10_v30_t125/para/para_00144.txt,para,144,28.0,14.4,[0.2003913  0.20126087 0.19870213 ... 0.02760465 0.04585714 0.02254762]
145,data/UV/181120_dpp_cn10_v30_t125/para/para_00145.txt,para,145,28.0,14.5,"[ 0.19617391  0.20247826  0.20338298 ...  0.06104651 -0.00185714
  0.00111905]"
146,data/UV/181120_dpp_cn10_v30_t125/para/para_00146.txt,para,146,30.0,14.600000000000001,"[ 0.20730435  0.20317391  0.207      ...  0.07406977  0.03442857
 -0.02430952]"
147,data/UV/181120_dpp_cn10_v30_t125/para/para_00147.txt,para,147,30.0,14.700000000000001,"[ 0.20608696  0.19804348  0.19989362 ...  0.05916279  0.04571429
 -0.01316667]"
148,data/UV/181120_dpp_cn10_v30_t125/para/para_00148.txt,para,148,30.0,14.8,[0.2113913  0.20682609 0.19504255 ... 0.03855814 0.03371429 0.0222381 ]
